SheetCaption,DSSupervisor,Salesman,Retailer Hierarchy 1,Retailer Hieararchy 2,Retailer Hierarchy 3,Retailer Code,Retailer Name,Address 1,Sales Invoice Number,Sales Invoice Date,Actual Delivery Date,Delivery Status,Company Product Code,Brand_Caption,Mother Pack Name,Dist. Product Code,Product Name,Batch,MRP,Selling Rate,Quantity Billed,Gross Amount,Special Discount,Product Special Discount,Product Scheme Discount,Distributor Discount,Cash Discount,Key Discount,Tax Amount,Net Amount
 Detail,Totals,,,,,,,,,,,,,,,,,,0,0,33896,686325.15453,0,11147.63306,9843.68629,5610.99097,0,0,89399.16108,749122.00536
Detail ,,RATHI,AS:AD HOC SHOPPING,CV:Convenience,CPP:Petrol Pump,582204000026,SINGH MOTORS,HEMKUNTH COLGK 1,JC46559,2020-10-22,2020-10-22,Delivered,12379031,IN C&B : Nescafe Redimix,NESCAFE Latte Xpress Cup 25g,12379031,NESCAFE Latte Cup 60x25g N2 IN,Batch 0217045184M-0217045184,25,19.2604,6,115.5624,0,0,0,0,0,0,20.80123,136.36363
Detail ,,AMIT,PS:PLANNED SHOPPING,GL:Groceries - Large,GL:Groceries Large - B,582204010082,NEW CAKE PALACE,J BLOCK SAKET,JC46523,2020-10-22,2020-10-22,Delivered,12379031,IN C&B : Nescafe Redimix,NESCAFE Latte Xpress Cup 25g,12379031,NESCAFE Latte Cup 60x25g N2 IN,Batch 0217045184M-0217045184,25,19.2604,6,115.5624,0,0,0,0,0,0,20.80123,136.36363
Detail ,,RAKESH,PS:PLANNED SHOPPING,GL:Groceries - Large,GL:Groceries Large - B,582204000004,NEW EMPIRE STORE,M 53  MKT GK1,JC46503,2020-10-22,2020-10-22,Delivered,12414505,IN C&C : Kitkat,KIT KAT 2F Mini Pouch 12.8g,12414505,KIT KAT 7x2F Sharebag (72x126g) IN,Batch 02740454BBM-02740454BB,100,77.0416,12,924.4992,0,0,0,0,0,0,166.40986,1090.90906
Detail ,,RAKESH,AS:AD HOC SHOPPING,CV:Convenience,CPP:Petrol Pump,582204000020,NAV-YUG SERVICE STATION,"B-BLK , GK-1",JC46497,2020-10-22,2020-10-22,Delivered,12372680,IN CUL : Noodles Cup,MAGGI Cuppa Mania Noodles Yo Masala 70g,12372680,MAGGI Cuppa NDLS Masala 48x70g N3 IN,Batch 02450451AAM-02450451AA,45,36.52597,12,438.31164,0,0,0,0,0,0,52.5974,490.90904
Detail ,,Vikash,PS:PLANNED SHOPPING,GL:Groceries - Large,GL:Groceries Large - B,582204000269,CHOUDHARYS WHOLESALE BAZAAR,"First Floor,25A-1, Govindpuri,New Delhi",JC46475,2020-10-22,2020-10-22,Delivered,12372680,IN CUL : Noodles Cup,MAGGI Cuppa Mania Noodles Yo Masala 70g,12372680,MAGGI Cuppa NDLS Masala 48x70g N3 IN,Batch 02450451AAM-02450451AA,45,36.52597,3,109.57791,0,0,0,0,0,0,13.14935,122.72726
Detail ,,AMIT,PS:PLANNED SHOPPING,GL:Groceries - Large,GL:Groceries Large - B,582204010082,NEW CAKE PALACE,J BLOCK SAKET,JC46523,2020-10-22,2020-10-22,Delivered,12372680,IN CUL : Noodles Cup,MAGGI Cuppa Mania Noodles Yo Masala 70g,12372680,MAGGI Cuppa NDLS Masala 48x70g N3 IN,Batch 02450451AAM-02450451AA,45,36.52597,12,438.31164,0,0,0,0,0,0,52.5974,490.90904
Detail ,,RAKESH,PS:PLANNED SHOPPING,GL:Groceries - Large,GL:Groceries Large - B,582204000004,NEW EMPIRE STORE,M 53  MKT GK1,JC46503,2020-10-22,2020-10-22,Delivered,12425381,IN C&B : Nescafe Classic Large Packs,NESCAFE Classic Jar 100g,12425381,NESCAFE CLASSIC Dawn Jar 18x100g N2 IN,Batch 02010452CCM-02010452CC,290,229.68478,3,689.05434,0,0,13.78093,0,0,0,121.54921,796.82262
Detail ,,RATHI,AS:AD HOC SHOPPING,CV:Convenience,CPP:Petrol Pump,582204000026,SINGH MOTORS,HEMKUNTH COLGK 1,JC46559,2020-10-22,2020-10-22,Delivered,12425381,IN C&B : Nescafe Classic Large Packs,NESCAFE Classic Jar 100g,12425381,NESCAFE CLASSIC Dawn Jar 18x100g N2 IN,Batch 02010452CCM-02010452CC,290,229.68478,3,689.05434,0,0,13.78101,0,0,0,121.5492,796.82253
Detail ,,AMIT,PS:PLANNED SHOPPING,GL:Groceries - Large,GL:Groceries Large - B,582204010083,ANAND MORNING STORE,J BLOCK SAKET,JC46524,2020-10-22,2020-10-22,Delivered,12425381,IN C&B : Nescafe Classic Large Packs,NESCAFE Classic Jar 100g,12425381,NESCAFE CLASSIC Dawn Jar 18x100g N2 IN,Batch 02010452CCM-02010452CC,290,229.68478,6,1378.10868,0,0,27.56203,0,0,0,243.0984,1593.64505
